Date,PETZ3,AMERICANAS,VIA VAREJO,AMAZON,APPLE
2020-11-26,62.27000045776367,75.75,42.11524963378906,19.0,19.209999084472656
2020-11-27,62.290000915527344,76.61000061035156,42.66474914550781,19.25,18.489999771118164
2020-11-30,64.30000305175781,70.4000015258789,42.38999938964844,19.0,17.75
2020-12-01,64.0199966430664,69.76000213623047,42.38999938964844,18.170000076293945,17.149999618530273
2020-12-02,64.52999877929688,68.5,41.895450592041016,18.690000534057617,17.1200008392334
2020-12-03,63.08000183105469,72.44000244140625,41.2713737487793,18.75,17.209999084472656
2020-12-04,62.54999923706055,78.0,40.76897430419922,18.8799991607666,17.510000228881836
2020-12-07,63.279998779296875,84.02999877929688,40.39609909057617,17.950000762939453,17.43000030517578
2020-12-08,63.70000076293945,83.75,40.72187423706055,18.200000762939453,17.700000762939453
2020-12-09,63.13999938964844,81.4000015258789,40.03499984741211,17.850000381469727,17.209999084472656
2020-12-10,62.02000045776367,81.5,39.057674407958984,17.450000762939453,17.020000457763672
2020-12-11,61.939998626708984,78.5999984741211,39.395225524902344,17.709999084472656,16.81999969482422
2020-12-14,62.75,78.11000061035156,40.23125076293945,17.959999084472656,16.829999923706055
2020-12-15,65.0,78.4800033569336,40.58842468261719,18.100000381469727,17.020000457763672
2020-12-16,64.8499984741211,81.48999786376953,41.20857620239258,17.989999771118164,17.100000381469727
2020-12-17,65.04000091552734,79.94999694824219,40.99662399291992,18.200000762939453,16.969999313354492
2020-12-18,65.19000244140625,78.66000366210938,40.623748779296875,18.739999771118164,16.81999969482422
2020-12-21,65.26000213623047,77.0999984741211,40.97700119018555,18.350000381469727,16.149999618530273
2020-12-22,68.9800033569336,75.97000122070312,41.59714889526367,18.899999618530273,15.9399995803833
2020-12-23,67.9000015258789,75.5999984741211,41.33810043334961,19.0,16.1299991607666
2020-12-28,71.69999694824219,77.04000091552734,42.9787483215332,19.360000610351562,16.59000015258789
2020-12-29,70.0,75.69999694824219,43.48899841308594,19.559999465942383,16.579999923706055
2020-12-30,69.0,75.61000061035156,42.90024948120117,19.100000381469727,16.15999984741211
2021-01-04,68.54000091552734,75.18000030517578,42.158424377441406,18.579999923706055,16.170000076293945
2021-01-05,69.16000366210938,73.5,42.48812484741211,18.59000015258789,16.219999313354492
2021-01-06,67.37000274658203,68.69999694824219,41.62462615966797,17.639999389648438,15.489999771118164
2021-01-07,70.93000030517578,67.30999755859375,42.93949890136719,17.520000457763672,15.079999923706055
2021-01-08,71.72000122070312,72.0,43.55965042114258,18.1299991607666,15.529999732971191
2021-01-11,71.36000061035156,71.30999755859375,43.37125015258789,18.950000762939453,15.119999885559082
2021-01-12,68.75,74.08999633789062,41.742374420166016,20.149999618530273,15.170000076293945
2021-01-13,70.87999725341797,75.30000305175781,42.1859016418457,21.56999969482422,14.850000381469727
2021-01-14,68.38999938964844,77.3499984741211,40.757198333740234,22.0,14.899999618530273
2021-01-15,67.30000305175781,81.30000305175781,41.46762466430664,21.75,14.579999923706055
2021-01-18,67.08000183105469,82.1500015258789,41.479400634765625,21.5,14.539999961853027
2021-01-19,68.48999786376953,80.62000274658203,41.997501373291016,21.40999984741211,14.319999694824219
2021-01-20,69.8499984741211,87.5,43.45367431640625,21.790000915527344,14.569999694824219
2021-01-21,73.5999984741211,89.79000091552734,44.352500915527344,22.299999237060547,14.260000228881836
2021-01-22,76.3499984741211,89.30999755859375,45.12179946899414,22.030000686645508,14.1899995803833
2021-01-26,77.0,85.8499984741211,44.686126708984375,22.600000381469727,14.520000457763672
2021-01-27,76.9000015258789,84.7699966430664,43.645999908447266,21.100000381469727,14.15999984741211
2021-01-28,74.5,86.19999694824219,44.18372344970703,21.799999237060547,15.289999961853027
2021-01-29,72.0199966430664,82.31999969482422,43.959999084472656,21.5,14.6899995803833
2021-02-01,73.55000305175781,83.55999755859375,45.56924819946289,21.600000381469727,14.380000114440918
2021-02-02,72.4000015258789,89.30000305175781,46.04024887084961,21.799999237060547,15.279999732971191
2021-02-03,72.0,90.38999938964844,44.54875183105469,21.969999313354492,15.079999923706055
2021-02-04,74.5999984741211,86.33999633789062,45.55747604370117,21.649999618530273,15.0
2021-02-05,73.5999984741211,84.51000213623047,45.09825134277344,21.65999984741211,15.079999923706055
2021-02-08,73.19999694824219,84.06999969482422,44.5880012512207,22.030000686645508,15.220000267028809
2021-02-09,73.25,83.0,44.86275100708008,22.649999618530273,14.930000305175781
2021-02-10,73.05999755859375,82.54000091552734,44.309326171875,22.360000610351562,14.350000381469727
2021-02-11,72.75,85.5999984741211,44.042423248291016,22.239999771118164,14.600000381469727
2021-02-12,72.87000274658203,85.41000366210938,44.23474884033203,22.350000381469727,14.479999542236328
2021-02-17,70.87999725341797,86.37999725341797,44.94124984741211,23.170000076293945,14.619999885559082
2021-02-18,70.16999816894531,83.0,45.345523834228516,23.1200008392334,14.489999771118164
2021-02-19,69.93000030517578,88.6500015258789,43.850101470947266,23.799999237060547,14.0
2021-02-22,68.83999633789062,89.66999816894531,43.567501068115234,23.34000015258789,12.9399995803833
2021-02-23,69.37999725341797,85.9000015258789,43.959999084472656,22.799999237060547,13.1899995803833
2021-02-24,67.98999786376953,86.30000305175781,43.12397384643555,22.139999389648438,13.270000457763672
2021-02-25,67.0,85.0,42.35074996948242,21.399999618530273,12.609999656677246
2021-02-26,69.69000244140625,82.0,43.261348724365234,20.979999542236328,11.869999885559082
2021-03-01,71.91000366210938,80.7300033569336,45.32982635498047,21.65999984741211,12.109999656677246
